Stock URL,Stock Name,Stock Index,Isin Code,Market/Segment,Sector,Ftse Indices
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005366767.html?lang=en,Nexi,NEXI,IT0005366767,MTA,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FI0009000681.html?lang=en,Nokia Corporation,NOKIA,FI0009000681,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005025355.html?lang=en,Notorious Pictures,NPI,IT0005025355,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005330516.html?lang=en,Nova Re,NR,IT0005330516,MTA,Real Estate,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Financials, FTSE Italia Real Estate"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US67066G1040.html?lang=en,Nvidia Corp,NVDA,US67066G1040,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005390783.html?lang=en,Nvp,NVP,IT0005390783,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005374035.html?lang=en,Officina Stellare,OS,IT0005374035,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001350625.html?lang=en,Olidata,OLI,IT0001350625,MTA,Technology,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003683528.html?lang=en,Openjobmetis,OJM,IT0003683528,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000133308.html?lang=en,Orange,ORA,FR0000133308,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005138703.html?lang=en,Orsero,ORS,IT0005138703,STAR,Food & Beverage,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Food and Beverage"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005043507.html?lang=en,Ovs,OVS,IT0005043507,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001467577.html?lang=en,Panariagroup Industrie Ceramiche,PAN,IT0001467577,STAR,Construction & Materials,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Construction and Materials"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005378143.html?lang=en,Pattern,PTR,IT0005378143,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000121501.html?lang=en,Peugeot,UG,FR0000121501,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005274094.html?lang=en,Pharmanutra,PHN,IT0005274094,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/NL0000009538.html?lang=en,Philips,PHIA,NL0000009538,GLOBAL EQUITY MARKET,,
